Zioff01G0002000-Zioff01G0473200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zioff01G0002100-Zioff01G0473300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.15	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.37
Zioff01G0002300-Zioff01G0473500	2.21	2.44	2.23	17.93	22.71	14.41	7.84	18.58	27.2	18.39	16.81	26.34	3.06	5.84	5.69	10.87	22.22	17.32	22.45	20.74	0.45	1.1	0.99	2.18	14.3	18.85	11.76	7.09	13.82	19.4	16.86	14.23	19.5	5.67	7.54	5.74	8.41	17.99	16.18	22.45	19.88	0.56
Zioff01G0002400-Zioff01G0473600	2.02	1.79	2.18	1.29	1.37	3.1	1.48	2.38	2.43	0.77	3.51	1.95	3.79	2.1	3.12	2.62	1.85	3.57	1.59	1.02	2.67	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.16	0.07	0.0	0.0	0.04	0.0	0.0	0.0	0.0
Zioff01G0002500-Zioff01G0473700	17.38	16.92	14.55	13.72	25.88	11.35	2.89	28.86	7.99	27.33	12.64	8.11	0.08	0.31	0.0	1.67	0.0	0.56	4.72	4.65	40.3	4.53	3.78	3.11	2.86	2.17	2.98	1.36	1.97	0.41	1.02	0.42	0.37	0.19	0.12	0.15	0.88	0.21	0.49	1.6	1.5	5.84
Zioff01G0002600-Zioff01G0473800	13.43	13.16	14.83	1.95	1.71	0.44	2.65	3.29	2.35	3.39	2.42	1.57	2.22	2.68	1.65	3.06	3.0	2.96	27.03	24.46	13.86	12.11	13.16	13.42	1.2	3.48	1.23	2.57	3.01	2.29	4.21	2.87	0.69	1.47	2.28	2.05	3.18	0.84	2.59	32.0	29.72	17.73
Zioff01G0002700-Zioff01G0473900	33.66	40.19	42.29	81.16	83.7	71.67	50.15	77.91	71.26	78.54	85.03	74.49	57.73	67.05	70.19	39.71	57.15	45.46	39.82	47.76	63.28	34.25	35.93	37.69	49.75	57.88	48.69	34.22	59.51	46.05	54.7	59.56	54.46	40.3	43.98	42.84	26.28	26.35	24.86	29.32	27.31	38.41
Zioff01G0002800-Zioff01G0474000	0.2	0.0	0.15	4.25	4.01	5.5	0.19	2.93	6.52	1.19	8.96	6.3	0.0	0.0	0.0	0.0	0.0	0.07	4.05	3.6	0.13	0.0	0.0	0.16	4.32	3.9	7.08	3.27	5.07	6.25	1.14	7.95	8.53	0.07	0.0	0.0	0.0	0.0	0.8	5.28	5.54	0.0
Zioff01G0002900-Zioff01G0474100	0.0	0.0	0.27	0.04	0.83	0.0	0.0	0.18	0.2	0.04	0.63	0.3	0.0	0.0	0.0	0.0	0.0	0.08	2.2	1.9	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.15	0.17	0.0
Zioff01G0003000-Zioff01G0474200	33.85	31.11	31.92	56.34	53.73	51.43	18.94	48.53	90.4	48.43	75.88	99.07	28.64	25.94	21.87	24.14	17.07	23.34	11.6	9.64	20.77	23.43	27.47	25.15	22.63	25.35	24.25	9.34	28.8	50.44	26.78	38.92	53.89	15.56	14.76	9.14	7.92	10.6	12.34	9.95	8.59	16.03
Zioff01G0003100-Zioff01G0474300	17.17	15.43	18.05	3.33	2.73	2.69	3.81	2.63	3.85	2.76	2.47	5.75	5.87	7.44	4.87	7.25	6.02	5.43	8.99	9.65	5.49	28.32	29.05	23.67	13.4	11.67	12.05	6.03	11.03	12.81	9.35	12.23	13.78	15.17	12.74	14.88	6.23	11.99	9.1	16.7	18.86	10.11
Zioff01G0003200-Zioff01G0474400	220.91	230.12	226.49	105.35	101.17	113.98	158.39	92.78	89.78	102.65	118.94	76.61	161.93	169.39	163.25	191.59	111.6	127.68	61.24	63.42	34.49	274.81	279.13	278.57	119.92	119.77	142.94	202.06	107.58	96.72	111.29	144.05	86.73	210.99	195.17	208.3	207.7	152.24	182.68	120.78	122.18	48.3
Zioff01G0003300-Zioff01G0474500	4.75	4.37	4.6	16.51	19.11	11.39	10.56	17.63	19.42	22.46	15.84	21.43	10.99	9.37	4.14	11.51	9.0	11.29	8.41	8.63	1.58	0.51	0.32	0.52	9.61	9.69	6.15	3.12	9.37	11.8	13.22	10.3	11.11	1.01	1.86	1.62	2.09	2.04	2.84	4.48	5.42	0.47
Zioff01G0003400-Zioff01G0474700	5.07	4.61	4.37	1.61	0.37	2.28	9.91	0.79	0.37	0.49	0.39	0.28	6.82	4.65	3.28	5.19	4.72	5.99	2.59	2.97	15.33	0.0	0.0	0.0	0.31	0.22	0.13	0.02	0.2	0.19	0.26	0.0	0.0	0.24	0.05	0.0	0.0	0.0	0.11	0.04	0.07	0.17
Zioff01G0003700-Zioff01G0475300	0.99	1.38	1.22	1.59	2.1	1.48	7.82	1.57	1.11	1.94	1.22	1.08	1.98	1.07	0.31	4.61	2.63	3.58	8.61	8.16	21.54	0.0	0.0	0.0	0.0	0.34	0.0	0.22	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Zioff01G0003900-Zioff01G0475400	3.79	2.18	2.48	16.33	12.75	18.5	21.05	15.23	3.88	15.17	7.82	5.21	8.38	5.2	11.29	5.23	5.77	6.0	13.07	14.74	7.38	0.07	0.36	1.1	2.5	0.8	3.09	0.47	1.61	0.03	0.79	0.96	0.16	0.67	0.33	0.91	1.11	0.3	1.0	1.07	1.61	4.82
Zioff01G0004000-Zioff01G0475500	6.98	7.13	8.29	131.54	63.72	115.04	142.52	98.26	4.71	127.6	12.46	8.43	17.02	10.44	19.45	95.16	37.75	47.12	43.23	40.65	72.59	2.38	2.32	3.19	70.99	27.84	71.05	112.97	45.1	1.45	31.82	3.83	2.33	4.62	3.87	5.75	51.84	9.54	23.78	50.62	47.51	107.46
Zioff01G0004100-Zioff01G0475600	0.0	0.0	0.0	0.0	0.17	0.0	0.16	0.0	0.14	0.0	0.0	0.0	0.0	1.23	1.09	0.0	0.0	0.0	0.16	0.0	0.55	0.0	0.0	0.0	1.34	0.0	0.0	0.0	0.0	0.14	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.36	0.0	0.08	0.0	0.0
Zioff01G0004200-Zioff01G0475700	0.03	0.0	0.06	0.8	1.23	1.05	0.46	0.77	0.61	0.99	0.93	0.53	0.03	0.0	0.0	0.19	0.03	0.32	0.49	0.51	0.08	0.12	0.28	0.32	2.64	2.61	1.65	2.15	1.83	1.59	3.1	1.17	1.04	2.44	1.9	1.61	2.4	1.56	1.07	2.25	2.29	0.13
Zioff01G0004300-Zioff01G0475800	0.0	0.18	0.0	0.46	0.2	0.2	0.73	0.67	0.04	0.44	0.38	0.19	1.52	1.28	3.65	0.96	0.77	0.94	0.14	0.22	2.75	1.46	0.82	0.63	0.73	0.49	0.27	1.44	1.22	0.85	1.07	0.87	0.47	4.38	1.81	4.81	3.26	0.6	0.11	1.14	1.55	0.73
Zioff01G0004400-Zioff01G0475900	0.0	0.0	0.0	0.03	0.14	0.0	0.0	0.12	0.12	0.2	0.06	0.08	0.03	0.0	0.0	0.0	0.0	0.0	0.05	0.06	0.04	0.0	0.0	0.0	0.08	0.0	0.08	0.01	0.0	0.07	0.09	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.13
Zioff01G0004600-Zioff01G0476600	0.55	1.13	0.8	1.09	4.31	0.47	3.49	5.32	3.14	5.19	6.66	4.61	1.83	1.37	0.1	0.0	0.83	0.22	16.62	18.19	1.37	0.0	0.8	0.12	1.81	2.59	0.53	0.73	2.16	4.27	3.86	6.23	3.24	0.42	0.06	0.86	0.0	0.0	0.0	7.61	10.39	0.31
Zioff01G0004700-Zioff01G0476700	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.17	0.04
Zioff01G0004800-Zioff01G0476800	0.92	0.72	0.81	0.56	0.15	0.23	0.24	0.18	0.32	0.28	0.33	0.28	0.38	0.23	0.55	0.42	0.34	0.41	1.63	1.54	1.43	1.51	1.87	1.87	0.91	1.01	0.99	0.74	0.56	0.63	0.86	0.44	0.9	0.89	1.14	1.07	0.5	0.22	0.53	3.47	3.94	3.8
Zioff01G0004900-Zioff01G0476900	0.0	0.0	0.0	1.2	3.27	0.06	0.0	0.13	0.15	0.25	0.9	0.17	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	1.55	0.76	0.31	0.08	0.0	1.52	0.43	0.86	1.26	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.08
Zioff01G0005000-Zioff01G0477000	3.61	3.7	3.98	11.4	10.4	6.5	9.24	12.47	17.92	12.91	11.57	31.31	11.92	17.33	14.27	13.93	16.59	44.27	10.07	8.33	5.23	6.01	5.24	6.65	14.5	16.22	12.06	10.01	16.14	20.2	17.44	15.17	38.53	18.63	26.93	18.91	15.83	25.4	52.58	18.36	18.34	7.93
Zioff01G0005100-Zioff01G0477100	1.72	2.47	2.08	5.08	1.44	2.95	8.37	1.37	0.67	2.07	0.81	2.11	1.88	0.92	1.07	22.76	30.13	50.98	3.06	2.18	17.88	0.41	0.3	0.07	3.0	1.2	1.59	5.54	2.15	0.9	1.13	1.49	2.08	0.78	0.78	0.75	4.79	5.66	6.82	1.3	0.6	25.08
Zioff01G0005200-Zioff01G0477200	1.55	1.15	1.76	2.38	2.03	2.48	1.4	2.6	2.4	3.14	2.66	1.54	1.34	1.53	1.69	2.5	2.83	0.71	4.47	4.53	3.64	3.06	2.47	2.86	4.14	2.9	3.25	5.11	1.76	1.57	4.25	4.56	2.07	4.35	3.03	2.47	0.76	1.59	0.93	6.89	4.76	5.46
